br.com.camiloporto.scalability.client.ClientRequest | Thread-18 | Wed Sep 20 21:57:44 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-39 | Wed Sep 20 21:57:44 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-40 | Wed Sep 20 21:57:44 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-19 | Wed Sep 20 21:57:44 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-41 | Wed Sep 20 21:57:45 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-42 | Wed Sep 20 21:57:45 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-22 | Wed Sep 20 21:57:46 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-21 | Wed Sep 20 21:57:46 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-43 | Wed Sep 20 21:57:46 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-20 | Wed Sep 20 21:57:46 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-44 | Wed Sep 20 21:57:47 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-45 | Wed Sep 20 21:57:47 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-46 | Wed Sep 20 21:57:48 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-23 | Wed Sep 20 21:57:48 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-47 | Wed Sep 20 21:57:49 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-24 | Wed Sep 20 21:57:49 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-48 | Wed Sep 20 21:57:49 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-25 | Wed Sep 20 21:57:50 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-49 | Wed Sep 20 21:57:50 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-50 | Wed Sep 20 21:57:50 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-51 | Wed Sep 20 21:57:51 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-52 | Wed Sep 20 21:57:51 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-26 | Wed Sep 20 21:57:52 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-53 | Wed Sep 20 21:57:52 BRT 2017 | request sent
